month	personal	attorney	total
Jun. 1780	22	14	36
Jul. 1780	28	8	36
Aug. 1780	40	13	53
Sep. 1780	17	9	26
Oct. 1780	43	11	54
Nov. 1780	32	13	45
Dec. 1780	42	5	47
Jan. 1781	26	24	50
Feb. 1781	47	15	62
Mar. 1781	34	20	54
Apr. 1781	62	32	94
May 1781	76	33	109
Jun. 1781	16	7	23
Jul. 1781	67	18	85
Aug. 1781	50	23	73
Sep. 1781	29	9	38
Oct. 1781	31	30	61
Nov. 1781	45	22	67
Dec. 1781	27	9	36
Jan. 1782	38	14	52
Feb. 1782	66	25	91
Mar. 1782	23	4	27
Apr. 1782	54	24	78
May 1782	61	11	72
Jun. 1782	19	13	32
Jul. 1782	46	10	56
Aug. 1782	68	18	86
Sep. 1782	25	7	32
Oct. 1782	39	19	58
Nov. 1782	63	19	82
Dec. 1782	24	6	30
Jan. 1783	53	9	62
Feb. 1783	58	19	77
Mar. 1783	67	17	84
Apr. 1783	64	17	81
May 1783	81	29	110
Jun. 1783	16	5	21
Jul. 1783	27	18	45
Aug. 1783	44	15	59
Sep. 1783	24	8	32
Oct. 1783	39	18	57
Nov. 1783	37	13	50
Dec. 1783	60	20	80
Jan. 1784	38	13	51
Feb. 1784	39	25	64
Mar. 1784	34	10	44
Apr. 1784	25	19	44
May 1784	39	23	62
Jun. 1784	23	5	28
Jul. 1784	49	20	69
Aug. 1784	66	12	78
Sep. 1784	13	8	21
Oct. 1784	22	13	35
Nov. 1784	15	3	18
Dec. 1784	27	14	41
Jan. 1785	29	18	47
Feb. 1785	42	21	63
Mar. 1785	56	13	69
Apr. 1785	36	10	46
May 1785	33	15	48
Jun. 1785	8	2	10
Jul. 1785	29	25	54
Aug. 1785	29	24	53
Sep. 1785	27	15	42
Oct. 1785	30	13	43
Nov. 1785	56	36	92
Dec. 1785	23	4	27
Jan. 1786	29	10	39
Feb. 1786	46	32	78
Mar. 1786	33	12	45
Apr. 1786	29	18	47
May 1786	56	12	68
Jun. 1786	15	6	21
Jul. 1786	43	17	60
Aug. 1786	66	21	87
Sep. 1786	41	15	56
Oct. 1786	73	21	94
Nov. 1786	73	25	98
Dec. 1786	41	8	49
Jan. 1787	25	16	41
Feb. 1787	93	16	109
Mar. 1787	77	11	88
Apr. 1787	94	20	114
May 1787	122	31	153
Jun. 1787	29	8	37
Jul. 1787	73	12	85
Aug. 1787	89	31	120
Sep. 1787	58	8	66
Oct. 1787	62	16	78
Nov. 1787	101	18	119
Dec. 1787	48	15	63
Jan. 1788	47	24	71
Feb. 1788	112	29	141
Mar. 1788	61	20	81
Apr. 1788	84	43	127
May 1788	87	37	124
Jun. 1788	31	10	41
Jul. 1788	47	27	74
Aug. 1788	49	25	74
Sep. 1788	16	13	29
Oct. 1788	39	17	56
Nov. 1788	59	10	69
Dec. 1788	39	14	53
Jan. 1789	36	26	62
Feb. 1789	74	21	95
Mar. 1789	48	5	53
Apr. 1789	71	36	107
May 1789	35	55	90
Jun. 1789	15	5	20
Jul. 1789	68	33	101
Aug. 1789	59	34	93
Sep. 1789	41	36	77
Oct. 1789	89	27	116
Nov. 1789	110	30	140
Dec. 1789	54	11	65
Jan. 1790	42	22	64
Feb. 1790	64	21	85
Mar. 1790	84	9	93
Apr. 1790	104	28	132
May 1790	171	26	197
Jun. 1790	79	6	85
Jul. 1790	106	17	123
Aug. 1790	110	37	147
Sep. 1790	42	16	58
Oct. 1790	82	25	107
Nov. 1790	113	21	134
Dec. 1790	62	22	84
Jan. 1791	80	28	108
Feb. 1791	131	64	195
Mar. 1791	45	14	59
Apr. 1791	113	48	161
May 1791	137	52	189
Jun. 1791	40	8	48
Jul. 1791	104	32	136
Aug. 1791	253	108	361
Sep. 1791	150	65	215
Oct. 1791	194	87	281
Nov. 1791	238	97	335
Dec. 1791	71	10	81
Jan. 1792	134	53	187
Feb. 1792	354	95	449
Mar. 1792	110	49	159
Apr. 1792	253	66	319
May 1792	251	71	322
Jun. 1792	75	14	89
Jul. 1792	184	55	239
Aug. 1792	136	67	203
Sep. 1792	104	31	135
Oct. 1792	183	34	217
Nov. 1792	202	50	252
Dec. 1792	100	9	109
Jan. 1793	237	37	274
Feb. 1793	284	31	315
Mar. 1793	88	7	95
Apr. 1793	370	61	431
May 1793	186	95	281
Jun. 1793	48	23	71
Jul. 1793	225	42	267
Aug. 1793	165	53	218
Sep. 1793	72	15	87
Oct. 1793	126	31	157
Nov. 1793	143	32	175
Dec. 1793	50	13	63
Jan. 1794	172	33	205
Feb. 1794	209	48	257
Mar. 1794	49	17	66
Apr. 1794	196	31	227
May 1794	143	31	174
Jun. 1794	61	3	64
Jul. 1794	152	33	185
Aug. 1794	91	41	132
Sep. 1794	67	15	82
Oct. 1794	143	45	188
Nov. 1794	165	30	195
Dec. 1794	38	13	51
Jan. 1795	115	22	137
Feb. 1795	135	35	170
Mar. 1795	28	3	31
Apr. 1795	171	21	192
May 1795	132	23	155
Jun. 1795	31	2	33
Jul. 1795	105	24	129
Aug. 1795	88	44	132
Sep. 1795	43	11	54
Oct. 1795	70	22	92
Nov. 1795	99	23	122
Dec. 1795	34	11	45
Jan. 1796	161	62	223
Feb. 1796	155	34	189
Mar. 1796	43	4	47
Apr. 1796	114	33	147
May 1796	154	31	185
Jun. 1796	28	12	40
Jul. 1796	103	28	131
Aug. 1796	77	34	111
Sep. 1796	55	28	83
Oct. 1796	68	32	100
Nov. 1796	84	35	119
Dec. 1796	23	13	36
Jan. 1797	57	15	72
Feb. 1797	102	24	126
Mar. 1797	10	9	19
Apr. 1797	70	17	87
May 1797	77	19	96
Jun. 1797	10	8	18
Jul. 1797	67	27	94
Aug. 1797	71	35	106
Sep. 1797	37	18	55
Oct. 1797	44	23	67
Nov. 1797	39	16	55
Dec. 1797	12	8	20
Jan. 1798	48	31	79
Feb. 1798	78	27	105
Mar. 1798	16	16	32
Apr. 1798	61	26	87
May 1798	71	15	86
Jun. 1798	14	3	17
Jul. 1798	45	38	83
Aug. 1798	58	33	91
Sep. 1798	40	19	59
Oct. 1798	58	20	78
Nov. 1798	90	10	100
Dec. 1798	14	4	18
Jan. 1799	50	25	75
Feb. 1799	83	19	102
Mar. 1799	23	11	34
Apr. 1799	49	33	82
May 1799	64	26	90
Jun. 1799	13	1	14
Jul. 1799	69	28	97
Aug. 1799	105	32	137
Sep. 1799	33	26	59
Oct. 1799	50	29	79
Nov. 1799	44	20	64
Dec. 1799	24	5	29
Jan. 1800	44	17	61
Feb. 1800	118	33	151
Mar. 1800	39	6	45
Apr. 1800	84	49	133
May 1800	67	33	100
Jun. 1800	12	11	23
Jul. 1800	78	23	101
Aug. 1800	76	42	118
Sep. 1800	46	14	60
Oct. 1800	49	19	68
Nov. 1800	46	13	59
Dec. 1800	18	11	29
Jan. 1801	42	30	72
Feb. 1801	63	21	84
Mar. 1801	15	2	17
Apr. 1801	69	12	81
May 1801	69	19	88
Jun. 1801	7	4	11
Jul. 1801	40	31	71
Aug. 1801	31	23	54
Sep. 1801	37	11	48
Oct. 1801	65	22	87
Nov. 1801	59	24	83
Dec. 1801	21	9	30
Jan. 1802	43	18	61
Feb. 1802	59	22	81
Mar. 1802	30	5	35
Apr. 1802	73	58	131
May 1802	84	51	135
Jun. 1802	12	10	22
Jul. 1802	42	27	69
Aug. 1802	64	29	93
Sep. 1802	33	25	58
Oct. 1802	48	13	61
Nov. 1802	60	28	88
Dec. 1802	21	6	27
Jan. 1803	64	29	93
Feb. 1803	61	28	89
Mar. 1803	25	23	48
Apr. 1803	80	43	123
May 1803	64	27	91
Jun. 1803	14	8	22
Jul. 1803	77	32	109
Aug. 1803	44	19	63
Sep. 1803	19	9	28
Oct. 1803	33	14	47
Nov. 1803	57	26	83
Dec. 1803	28	10	38
Jan. 1804	58	19	77
Feb. 1804	61	20	81
Mar. 1804	13	3	16
Apr. 1804	51	35	86
May 1804	68	35	103
Jun. 1804	17	3	20
Jul. 1804	66	23	89
Aug. 1804	32	36	68
Sep. 1804	20	13	33
Oct. 1804	35	16	51
Nov. 1804	65	17	82
Dec. 1804	16	13	29
Jan. 1805	71	24	95
Feb. 1805	64	24	88
Mar. 1805	25	6	31
Apr. 1805	64	16	80
May 1805	59	21	80
Jun. 1805	9	2	11
Jul. 1805	49	33	82
Aug. 1805	44	29	73
Sep. 1805	29	13	42
Oct. 1805	32	29	61
Nov. 1805	50	23	73
Dec. 1805	9	10	19
Jan. 1806	38	25	63
Feb. 1806	73	29	102
Mar. 1806	21	3	24
Apr. 1806	73	43	116
May 1806	90	26	116
Jun. 1806	8	12	20
Jul. 1806	65	40	105
Aug. 1806	68	33	101
Sep. 1806	37	20	57
Oct. 1806	34	14	48
Nov. 1806	60	18	78
Dec. 1806	11	8	19
Jan. 1807	54	18	72
Feb. 1807	53	14	67
Mar. 1807	16	9	25
Apr. 1807	109	29	138
May 1807	63	20	83
Jun. 1807	10	8	18
Jul. 1807	63	32	95
Aug. 1807	43	22	65
Sep. 1807	27	16	43
Oct. 1807	55	24	79
Nov. 1807	63	10	73
Dec. 1807	4	3	7
Jan. 1808	44	30	74
Feb. 1808	110	29	139
Mar. 1808	24	9	33
Apr. 1808	75	18	93
May 1808	140	41	181
Jun. 1808	13	11	24
Jul. 1808	80	28	108
Aug. 1808	40	20	60
Sep. 1808	27	16	43
Oct. 1808	49	17	66
Nov. 1808	77	9	86
Dec. 1808	0	0	0
Jan. 1809	46	28	74
Feb. 1809	48	16	64
Mar. 1809	13	4	17
Apr. 1809	55	29	84
May 1809	79	27	106
Jun. 1809	18	6	24
Jul. 1809	52	17	69
Aug. 1809	85	24	109
Sep. 1809	24	12	36
Oct. 1809	72	17	89
Nov. 1809	85	28	113
Dec. 1809	0	0	0
Jan. 1810	70	38	108
Feb. 1810	73	35	108
Mar. 1810	10	12	22
Apr. 1810	67	27	94
May 1810	65	18	83
Jun. 1810	25	11	36
Jul. 1810	59	18	77
Aug. 1810	85	14	99
Sep. 1810	30	25	55
Oct. 1810	43	20	63
Nov. 1810	57	18	75
Dec. 1810	3	0	3
Jan. 1811	54	30	84
Feb. 1811	53	20	73
Mar. 1811	16	13	29
Apr. 1811	59	23	82
May 1811	72	8	80
Jun. 1811	19	5	24
Jul. 1811	52	13	65
Aug. 1811	44	16	60
Sep. 1811	20	10	30
Oct. 1811	38	15	53
Nov. 1811	47	15	62
Dec. 1811	0	0	0
Jan. 1812	41	22	63
Feb. 1812	53	25	78
Mar. 1812	13	6	19
Apr. 1812	53	20	73
May 1812	34	30	64
Jun. 1812	9	13	22
Jul. 1812	30	13	43
Aug. 1812	42	18	60
Sep. 1812	16	18	34
Oct. 1812	54	19	73
Nov. 1812	41	11	52
Dec. 1812	0	0	0
Jan. 1813	51	20	71
Feb. 1813	44	17	61
Mar. 1813	9	5	14
Apr. 1813	38	23	61
May 1813	43	10	53
Jun. 1813	11	5	16
Jul. 1813	24	21	45
Aug. 1813	45	12	57
Sep. 1813	32	16	48
Oct. 1813	26	22	48
Nov. 1813	40	26	66
Dec. 1813	0	0	0
Jan. 1814	43	27	70
Feb. 1814	76	24	100
Mar. 1814	30	8	38
Apr. 1814	62	37	99
May 1814	62	28	90
Jun. 1814	13	4	17
Jul. 1814	29	24	53
Aug. 1814	41	37	78
Sep. 1814	14	17	31
Oct. 1814	21	36	57
Nov. 1814	41	22	63
Dec. 1814	2	0	2
Jan. 1815	39	39	78
Feb. 1815	53	26	79
Mar. 1815	10	3	13
Apr. 1815	26	23	49
May 1815	54	25	79
Jun. 1815	6	3	9
Jul. 1815	48	23	71
Aug. 1815	45	28	73
Sep. 1815	12	16	28
Oct. 1815	31	25	56
Nov. 1815	29	22	51
Dec. 1815	0	0	0
Jan. 1816	29	25	54
Feb. 1816	50	29	79
Mar. 1816	13	7	20
Apr. 1816	53	42	95
May 1816	63	21	84
Jun. 1816	11	13	24
Jul. 1816	67	26	93
Aug. 1816	56	34	90
Sep. 1816	29	17	46
Oct. 1816	29	11	40
Nov. 1816	46	32	78
Dec. 1816	11	5	16
Jan. 1817	53	29	82
Feb. 1817	81	58	139
Mar. 1817	35	15	50
Apr. 1817	100	86	186
May 1817	56	28	84
Jun. 1817	28	4	32
Jul. 1817	65	46	111
Aug. 1817	41	39	80
Sep. 1817	43	18	61
Oct. 1817	61	28	89
Nov. 1817	76	27	103
Dec. 1817	22	7	29
Jan. 1818	50	30	80
Feb. 1818	47	17	64
Mar. 1818	14	4	18
Apr. 1818	54	40	94
May 1818	64	26	90
Jun. 1818	11	12	23
Jul. 1818	38	18	56
Aug. 1818	40	17	57
Sep. 1818	9	5	14
Oct. 1818	24	15	39
Nov. 1818	50	24	74
Dec. 1818	13	11	24
Jan. 1819	52	21	73
Feb. 1819	43	21	64
Mar. 1819	15	9	24
Apr. 1819	36	18	54
May 1819	74	10	84
Jun. 1819	28	6	34
Jul. 1819	63	20	83
Aug. 1819	28	15	43
Sep. 1819	17	28	45
Oct. 1819	29	23	52
Nov. 1819	34	15	49
Dec. 1819	16	3	19
Jan. 1820	33	26	59
Feb. 1820	57	17	74
Mar. 1820	11	2	13
Apr. 1820	49	22	71
May 1820	48	24	72
Jun. 1820	27	11	38
Jul. 1820	65	17	82
Aug. 1820	40	27	67
Sep. 1820	38	17	55
Oct. 1820	39	23	62
Nov. 1820	48	20	68
Dec. 1820	20	5	25
Jan. 1821	52	24	76
Feb. 1821	55	30	85
Mar. 1821	10	1	11
Apr. 1821	50	22	72
May 1821	45	23	68
Jun. 1821	20	2	22
Jul. 1821	48	33	81
Aug. 1821	47	17	64
Sep. 1821	18	20	38
Oct. 1821	43	12	55
Nov. 1821	51	23	74
Dec. 1821	19	2	21
Jan. 1822	56	22	78
Feb. 1822	88	23	111
Mar. 1822	16	7	23
Apr. 1822	55	24	79
May 1822	35	37	72
Jun. 1822	11	5	16
Jul. 1822	80	42	122
Aug. 1822	74	24	98
Sep. 1822	29	30	59
Oct. 1822	68	28	96
Nov. 1822	70	22	92
Dec. 1822	1	1	2
Jan. 1823	49	23	72
Feb. 1823	84	21	105
Mar. 1823	19	1	20
Apr. 1823	92	34	126
May 1823	69	22	91
Jun. 1823	11	3	14
Jul. 1823	74	31	105
Aug. 1823	65	24	89
Sep. 1823	37	13	50
Oct. 1823	51	15	66
Nov. 1823	58	24	82
Dec. 1823	12	4	16
Jan. 1824	73	30	103
Feb. 1824	65	32	97
Mar. 1824	24	12	36
Apr. 1824	78	33	111
May 1824	59	29	88
Jun. 1824	24	11	35
Jul. 1824	72	33	105
Aug. 1824	35	24	59
Sep. 1824	24	11	35
Oct. 1824	37	14	51
Nov. 1824	47	13	60
Dec. 1824	5	8	13
Jan. 1825	68	19	87
Feb. 1825	62	21	83
Mar. 1825	19	5	24
Apr. 1825	87	25	112
May 1825	70	25	95
Jun. 1825	12	3	15
Jul. 1825	51	29	80
Aug. 1825	46	20	66
Sep. 1825	45	15	60
Oct. 1825	44	11	55
Nov. 1825	47	12	59
Dec. 1825	2	3	5
Jan. 1826	81	25	106
Feb. 1826	67	31	98
Mar. 1826	20	9	29
Apr. 1826	70	34	104
May 1826	104	39	143
Jun. 1826	16	2	18
Jul. 1826	50	32	82
Aug. 1826	52	17	69
Sep. 1826	24	15	39
Oct. 1826	47	16	63
Nov. 1826	38	17	55
Dec. 1826	23	9	32
Jan. 1827	52	25	77
Feb. 1827	78	21	99
Mar. 1827	16	6	22
Apr. 1827	60	20	80
May 1827	78	19	97
Jun. 1827	7	9	16
Jul. 1827	56	40	96
Aug. 1827	54	19	73
Sep. 1827	18	17	35
Oct. 1827	40	23	63
Nov. 1827	54	16	70
Dec. 1827	17	1	18
