location_id;count;location;category;lat;lon;region
l1823;1;Kilmartin;people_birth;56.133;-5.487;british_isles
l1830;1;Fort George;persons_birth;46.18788;-123.83125;atlantic
l1806;1;Guernsey;people_birth;49.45;-2.58;british_isles
l1805;1;Stilton;persons_birth;52.48788;-0.28894;british_isles
l1790;1;Isle of Skye;persons_birth;57.307;-6.23;british_isles
l1783;1;Stowmarket;persons_birth;52.18893;0.99774;british_isles
l1786;1;Llandilo;persons_birth;-33.71286;150.7465;indian_ocean
l1793;1;Alford;persons_birth;53.25943;0.17625;british_isles
l1796;1;Hereford;persons_birth;52.05684;-2.71482;british_isles
l1798;1;Tweedmouth;people_birth;55.761;-2.01;british_isles
l1801;1;Croydon;persons_birth;51.38333;-0.1;british_isles
l1875;1;Newington;persons_birth;51.35217;0.66768;british_isles
l1865;1;Norfolk;persons_birth;44.80089;-74.99103;atlantic
l1868;1;Islay;persons_birth;55.78526;-6.23886;british_isles
l1870;1;Campbeltown;persons_birth;55.42583;-5.60764;british_isles
l1874;1;Brooke;persons_birth;52.54175;1.37076;british_isles
l1878;1;Hartland;persons_birth;43.10501;-88.34204;atlantic
l1885;1;Binnington;persons_birth;54.1981;-0.4459;british_isles
l486;1;Gibraltar;calls;36.14474;-5.35257;atlantic
l1843;1;Heston;persons_birth;51.48363;-0.37577;british_isles
l1778;1;Westbury;persons_birth;51.26;-2.1875;british_isles
l1715;1;Rottingdean;persons_birth;50.80984;-0.05939;british_isles
l1723;1;Banff;persons_birth;57.66477;-2.52964;british_isles
l1697;1;Mirzapur;persons_birth;24.10287;90.09841;bengal_presidency
l1696;1;Hendon;persons_birth;51.6;-0.21667;british_isles
l1684;1;South Petherton;persons_birth;50.94829;-2.80708;british_isles
l1724;1;Tenby;persons_birth;51.67279;-4.70447;british_isles
l1725;1;& Lee;persons_birth;51.45556;0.00515;british_isles
l1757;1;Holbrook;persons_birth;51.9834;1.15854;british_isles
l1763;1;Stockton;persons_birth;51.14528;-2.03194;british_isles
l1765;1;Harrow;persons_birth;51.57835;-0.33208;british_isles
l1770;1;Eccles;persons_birth;53.48333;-2.33333;british_isles
l145;1;Halifax;calls;53.71667;-1.85;british_isles
l1772;1;Leadhills;persons_birth;55.4162;-3.7629;british_isles
l1774;1;Crieff;persons_birth;56.37268;-3.83891;british_isles
l1775;1;Prestwich;persons_birth;53.53333;-2.28333;british_isles
l1727;1;Lambeth;persons_birth;51.49635;-0.11152;british_isles
l1735;1;Hertford;persons_birth;51.79588;-0.07854;british_isles
l101;1;Barbados;calls;13.1012;-59.3309;atlantic
l1748;1;Dysart;people_birth;56.13;-3.11;british_isles
l375;1;Milford Haven;calls;51.71278;-5.0341;british_isles
l1891;1;Cove;persons_birth;57.1;-2.08333;british_isles
l2096;1;Musselburgh;persons_birth;55.9417;-3.04991;british_isles
l2028;1;Isle of Man;persons_birth;54.1406;-4.313;british_isles
l2029;1;Carron;persons_birth;56.02611;-3.79251;british_isles
l2032;1;Great Yarmouth ?;persons_birth;52.60831;1.73052;british_isles
l2036;1;Canongate;persons_birth;55.951;-3.1799;british_isles
l2042;1;Chipping Ongar;persons_birth;51.70379;0.24548;british_isles
l2023;1;Grantham;persons_birth;52.91149;-0.64184;british_isles
l2000;1;Canterbury;persons_birth;51.27904;1.07992;british_isles
l2002;1;Barking;persons_birth;51.53333;0.08333;british_isles
l2008;1;Montrose;persons_birth;56.71683;-2.46695;british_isles
l2020;1;Bordeaux;persons_birth;44.84044;-0.5805;atlantic
l2012;1;Cameron;people_birth;56.2953;-2.8529;british_isles
l2016;1;Portsoy;persons_birth;57.68144;-2.68956;british_isles
l2076;1;Coylton;persons_birth;55.44528;-4.5195;british_isles
l2077;1;Oban;persons_birth;56.41535;-5.47184;british_isles
l2080;1;Wigton;persons_birth;54.82482;-3.16114;british_isles
l2088;1;Liskeard;persons_birth;50.4545;-4.46517;british_isles
l2089;1;Dunbar;persons_birth;56.00062;-2.51418;british_isles
l2094;1;Northallerton;persons_birth;54.33901;-1.43243;british_isles
l73;1;Scarborough;calls;54.27966;-0.40443;british_isles
l2057;1;Weybridge;persons_birth;51.37178;-0.45975;british_isles
l2061;1;Stokesley;persons_birth;54.46998;-1.1933;british_isles
l16;1;Macao;calls;22.1;113.33;china
l2069;1;Westdown;persons_birth;50.6121;-4.7443;british_isles
l1997;1;Stepney;persons_birth;51.5175;-0.04292;british_isles
l84;1;Plymouth;calls;50.37153;-4.14305;british_isles
l1918;1;Lambourn;persons_birth;51.50805;-1.53105;british_isles
l1920;1;Whitehaven;persons_birth;54.54897;-3.58412;british_isles
l1923;1;Hambleton;persons_birth;53.76667;-1.16667;british_isles
l1925;1;Crathie;people_birth;57.0225;-3.1255;british_isles
l1927;1;Alloa;persons_birth;56.11586;-3.78997;british_isles
l1928;1;Toulouse;persons_birth;43.60426;1.44367;atlantic
l1933;1;Sorbie;people_birth;54.79;-4.43;british_isles
l1936;1;Aylesbury;persons_birth;51.81665;-0.81458;british_isles
l1938;1;Virginia;persons_birth;53.83389;-7.07556;british_isles
l1941;1;Metz;persons_birth;49.11911;6.17269;atlantic
l1894;1;Millan;persons_birth;44.09973;3.07848;atlantic
l1895;1;Hadley;persons_birth;52.7;-2.48333;british_isles
l1900;1;Lithgow;people_birth;55.979;-3.6105;british_isles
l1903;1;Kessingland;persons_birth;52.41987;1.70878;british_isles
l1913;1;Bath;persons_birth;51.3751;-2.36172;british_isles
l1910;1;Bovey Tracey;persons_birth;50.59259;-3.67543;british_isles
l1912;1;Tiverton;persons_birth;53.13333;-2.66667;british_isles
l1943;1;Barnsley;persons_birth;53.55;-1.48333;british_isles
l1946;1;Haddington;persons_birth;55.95612;-2.78332;british_isles
l1985;1;1774. Windsor;persons_birth;51.48333;-0.6;british_isles
l1988;1;Cumberland;persons_birth;41.96677;-71.43284;atlantic
l1992;1;Little Clacton;persons_birth;51.82557;1.14215;british_isles
l1995;1;Sweden;persons_birth;63.0;16.0;atlantic
l1958;1;Wormley;persons_birth;51.13622;-0.64673;british_isles
l1950;1;Sicily;persons_birth;37.3;14.0;atlantic
l1953;1;Wick;persons_birth;58.43906;-3.09424;british_isles
l1970;1;Selborne;persons_birth;51.097;0.942;british_isles
l1963;1;Neath;persons_birth;51.66317;-3.80443;british_isles
l247;1;Margate;calls;51.38132;1.38617;british_isles
l1965;1;Welshpool;persons_birth;52.65973;-3.1471;british_isles
l1968;1;Enniskillen;persons_birth;54.34615;-7.64133;british_isles
