id;name;lat;lon
l689;Liverpool;53.41058;-2.97794
l703;Bushire;28.96887;50.83657
l704;Bar;49.07362;27.67404
l740;Samarang;-6.99306;110.42083
l757;Bangkok;13.75398;100.50144
l758;Ayutthaya;14.35167;100.57739
l775;Bristol;51.45523;-2.59665
l789;Malaca;36.72016;-4.42034
l798;Poole;50.71429;-1.98458
l799;Benguella;-12.57626;13.40547
l801;Quang Nam;15.88853;108.25447
l813;los;45.50719;105.75594
l823;Jim;7.67344;36.83441
l864;Sohar;24.34745;56.70937
l866;Japara;-6.5924;110.671
l870;Sind;46.58333;23.71667
l890;Dublin;53.33306;-6.24889
l893;Bassein;16.77919;94.73212
l923;Labrador;16.02812;120.14424
l938;New York;42.55779;-88.86511
l955;Amboyna;-3.69583;128.18333
l968;Cascais;38.69681;-9.42147
l1024;Makassar;-5.14861;119.43194
l1029;Johore;1.4655;103.7578
l1051;Boeton;-5.4633;122.6024
l1063;St Croix;17.72751;-64.74698
l1069;Luanda;0.31354;34.07146
l1073;Dover;51.12598;1.31257
l1087;Sao Thome;0.33654;6.72732
l1088;Bandar;2.05;99.75
l1091;Southampton;50.90395;-1.40428
l1095;Surabaya;-4.67122;105.72571
l1192;Batticaloa;7.7102;81.6924
l1195;Porto Novo;17.01969;-25.06471
l1200;Natal;0.5632;99.1099
l1204;Tynemouth;55.01788;-1.42559
l1207;Teignmouth;50.54581;-3.49671
l1252;Balasor;21.49266;86.93348
l1264;gap;44.55858;6.07868
l1267;Nagasaki;32.75;129.88333
l1332;Leghorn;43.54427;10.32615
l1344;Okinawa;26.33583;127.80139
l1361;Dewas;22.96585;76.05526
l1364;Trengganu;5.3302;103.1408
l1436;Sao Paulo;-23.5475;-46.63611
l1460;London;51.50853;-0.12574
l1467;Zanzibar;-6.16394;39.19793
