id;name_code;name;lat;lon
1401;zanzibar;Zanzibar;-6.16394;39.19793
1403;gibraltar;Gibraltar;36.14474;-5.35257
1421;java;Java;42.39972;43.93667
1435;long;long;18.07422;99.83073
1459;whitby;Whitby;54.48774;-0.61498
1460;the;the;-5.08917;-42.80194
1462;ipswich;Ipswich;45.44442;-99.02928
1463;harwich;Harwich;51.94194;1.28437
1468;banta;Banta;60.29414;25.04099
1471;borne;Borne;51.94881;11.55865
1482;jan;Jan 1677 -;32.29876;-90.18481
1501;sia;80 Sia;16.57452;107.51066
1523;holland;Holland;41.62172;-83.7116
1567;boston;Boston;30.79186;-83.78989
1570;scotland;Scotland;39.9687;-77.58721
1577;england;England;34.54426;-91.96903
1579;edinburgh;Edinburgh;55.95206;-3.19648
1582;yorkshire;Yorkshire;38.79317;-77.44777
1585;greenock;Greenock;-34.457;138.92719
1589;south petherton;South Petherton;50.94829;-2.80708
1590;bridgwater;Bridgwater;51.12837;-3.00356
1594;glasgow;Glasgow;39.22725;-92.84658
1601;hendon;Hendon;51.6;-0.21667
1602;mirzapur;Mirzapur;24.10287;90.09841
1619;rottingdean;Rottingdean;50.80984;-0.05939
1625;norwich;Norwich;42.53118;-75.52351
1627;banff;Banff;51.17622;-115.56982
1628;tenby;Tenby;51.67279;-4.70447
1629;lee;& Lee;42.30425;-73.24816
1631;lambeth;Lambeth;51.49635;-0.11152
1639;hertford;Hertford;36.19016;-76.46605
1648;st peter port;St Peter Port;49.45981;-2.53527
1651;dysart;Dysart;42.17166;-92.3063
1654;kilmarnock;Kilmarnock;37.71041;-76.37967
1659;holbrook;Holbrook;34.90225;-110.15818
1665;stockton;Stockton;51.14528;-2.03194
1666;fort william;Fort William;56.81648;-5.11208
1667;harrow;Harrow;51.57835;-0.33208
1672;eccles;Eccles;53.48333;-2.33333
1676;crieff;Crieff;56.37268;-3.83891
1677;prestwich;Prestwich;53.53333;-2.28333
1679;derby;Derby;52.92277;-1.47663
1680;westbury;Westbury;-41.52914;146.83914
1685;stowmarket;Stowmarket;52.18893;0.99774
1688;llandilo;Llandilo;-33.71286;150.7465
1695;alford;Alford;53.25943;0.17625
1698;hereford;Hereford;34.81521;-102.39932
1699;brechin;Brechin;56.72993;-2.65729
1703;croydon;Croydon;40.08733;-74.9035
1706;stilton;Stilton;52.48788;-0.28894
1707;guernsey;Guernsey;42.26969;-104.74163
1712;nantwich;Nantwich;53.06878;-2.52051
1714;campsie;Campsie;-33.9125;151.10279
1720;monmouth;Monmouth;44.84845;-123.23399
1729;dundee;Dundee;-28.16678;30.23371
1730;fort george;Fort George;46.18788;-123.83125
1739;dumfries;Dumfries;38.56762;-77.32804
1743;heston;Heston;51.48363;-0.37577
1754;north berwick;North Berwick;43.3037;-70.73339
1757;dalkeith;Dalkeith;-31.99517;115.7998
1759;aberdeen;Aberdeen;42.94408;-112.83833
1760;turriff;Turriff;57.5384;-2.45932
1761;st andrews;St Andrews;-34.02243;150.82958
1764;norfolk;Norfolk;44.80089;-74.99103
1768;campbeltown;Campbeltown;55.42583;-5.60764
1771;america;America;51.43667;5.97917
1772;brooke;Brooke;52.54175;1.37076
1773;newington;Newington;38.73845;-77.18498
1776;walthamstow;Walthamstow;51.59067;-0.02077
1777;hartland;Hartland;43.10501;-88.34204
1783;wexford;Wexford;52.33417;-6.4575
1788;perth;Perth;44.90011;-76.24939
1791;cove;Cove;7.22097;2.34017
1793;millan;Millan;44.09973;3.07848
1794;hadley;Hadley;42.34176;-72.58842
1799;lithgow;Lithgow;-33.4845;150.14903
1803;kessingland;Kessingland;52.41987;1.70878
1811;bovey tracey;Bovey Tracey;50.59259;-3.67543
1813;tiverton;Tiverton;53.13333;-2.66667
1814;bath;Bath;43.91064;-69.8206
1818;lambourn;Lambourn;51.50805;-1.53105
1819;ayr;Ayr;55.46273;-4.63393
1820;whitehaven;Whitehaven;54.54897;-3.58412
1821;ilfracombe;Ilfracombe;51.2093;-4.11344
1822;barnstaple;Barnstaple;51.08022;-4.05808
1823;hambleton;Hambleton;53.76667;-1.16667
1826;inverness;Inverness;39.57738;-104.86135
1827;alloa;Alloa;56.11586;-3.78997
1828;toulouse;Toulouse;43.60426;1.44367
1833;wales;Wales;53.34061;-1.28162
1835;aylesbury;Aylesbury;51.81665;-0.81458
1837;virginia;Virginia;-28.10391;26.86593
1840;metz;Metz;49.11911;6.17269
1842;barnsley;Barnsley;-32.93333;151.58333
1845;haddington;Haddington;55.95612;-2.78332
1852;wick;Wick;58.43906;-3.09424
1855;chatham;Chatham;42.36425;-73.59484
1857;wormley;Wormley;51.13622;-0.64673
1861;neath;Neath;51.66317;-3.80443
1863;welshpool;Welshpool;52.65973;-3.1471
1866;enniskillen;Enniskillen;54.34615;-7.64133
1867;ross;Ross;39.31228;-84.6505
1876;sunderland;Sunderland;54.90465;-1.38222
1881;windsor;1774. Windsor;38.54713;-122.81638
1884;cumberland;Cumberland;41.96677;-71.43284
1888;little clacton;Little Clacton;51.82557;1.14215
1893;stepney;Stepney;51.5175;-0.04292
1896;canterbury;Canterbury;-33.91192;151.11862
1898;barking;Barking;51.53333;0.08333
1904;montrose;Montrose;38.47832;-107.87617
1908;cameron;Cameron;29.79772;-93.32515
1912;portsoy;Portsoy;57.68144;-2.68956
1915;bordeaux;Bordeaux;44.84044;-0.5805
1918;grantham;Grantham;52.91149;-0.64184
1924;carron;Carron;56.02611;-3.79251
1927;great yarmouth;Great Yarmouth ?;52.60831;1.73052
1929;stirling;Stirling;-31.88343;115.8099
1936;chipping ongar;Chipping Ongar;51.70379;0.24548
1949;kensington;Kensington;40.79343;-73.72208
1950;weybridge;Weybridge;51.37178;-0.45975
1953;stokesley;Stokesley;54.46998;-1.1933
1957;tilbury fort;Tilbury Fort;51.46248;0.35856
1958;kirkcaldy;Kirkcaldy;56.11683;-3.15999
1967;coylton;Coylton;55.44528;-4.5195
1968;oban;Oban;56.41535;-5.47184
1971;wigton;Wigton;54.82482;-3.16114
1978;liskeard;Liskeard;50.4545;-4.46517
1979;dunbar;Dunbar;38.36065;-81.73735
1983;northallerton;Northallerton;54.33901;-1.43243
1985;musselburgh;Musselburgh;55.9417;-3.04991
1986;richmond;Richmond;-41.33333;173.18333
1989;queensferry;Queensferry;55.99089;-3.39847
1991;battle;Battle;50.91732;0.48417
1995;grange;Grange;-27.42251;153.01527
1996;maidstone;Maidstone;-37.78035;144.87353
2005;newport;Newport;44.86636;-93.00049
2006;swansea;Swansea;51.62079;-3.94323
2009;montreal;Montreal;43.1998;2.14122
2010;ulverston;Ulverston;54.19594;-3.09626
2013;sileby;Sileby;52.73286;-1.10773
2018;burntisland;Burntisland;56.05865;-3.23664
2019;hammersmith;Hammersmith;51.49384;-0.22882
2021;dingwall;Dingwall;57.59531;-4.42721
2025;eastbourne;Eastbourne;50.76871;0.28453
2029;folkestone;Folkestone;51.08169;1.16734
2031;newburgh;Newburgh;41.50343;-74.01042
2032;carnwath;Carnwath;55.70036;-3.62579
2033;clackmannan;Clackmannan;56.10743;-3.75098
2057;dalrymple;Dalrymple;55.39757;-4.59169
2064;applecross;Applecross;-32.01667;115.83333
2069;alphington;Alphington;-37.78333;145.03333
2070;cullen;Cullen;32.96903;-93.45073
2071;dorking;Dorking;51.23228;-0.3338
2074;leuchars;Leuchars;56.38174;-2.88253
2078;islington;Islington;-32.91388;151.74739
2084;bratton;Bratton;51.27056;-2.12444
2085;twyford;Twyford;51.47518;-0.86037
2093;lerwick;Lerwick;60.15339;-1.14427
2096;cumnock;Cumnock;55.45445;-4.26644
2098;forres;Forres;57.60997;-3.62115
2099;harris;Harris;45.58635;-92.97466
2100;seve;Seve;55.3195;52.06942
2106;coldstream;Coldstream;-37.7249;145.37804
2115;exeter;Exeter;-34.83994;138.48902
2120;oxford;Oxford;40.80315;-74.98962
2123;wrotham;Wrotham;51.30856;0.30899
2128;wilbraham;Wilbraham;42.12371;-72.43147
2131;kingston;Kingston;42.09975;-88.75898
2132;monifieth;Monifieth;56.48227;-2.81732
2136;midlothian;Midlothian;32.48236;-96.99445
2140;mansfield;Mansfield;53.13333;-1.2
2142;dedham;Dedham;51.95892;0.99336
2144;northampton;Northampton;40.68621;-75.49685
2145;new town;New Town;-42.85758;147.30869
2148;methil;Methil;56.18543;-3.02157
2150;lichfield;Lichfield;52.68154;-1.82549
2151;carlton;Carlton;-37.8;144.96667
2152;plumstead;Plumstead;51.48333;0.08333
2154;ballyshannon;Ballyshannon;54.5;-8.18333
2155;whitburn;Whitburn;55.86667;-3.68333
2158;leeds;Leeds;53.79648;-1.54785
2163;kirkliston;Kirkliston;55.95364;-3.40288
2164;falkirk;Falkirk;56.0021;-3.78535
2171;haverfordwest;Haverfordwest;51.80169;-4.96914
2175;ratho;Ratho;55.92164;-3.38028
2176;carlisle;Carlisle;-31.97945;115.91808
2184;epsom;Epsom;-36.71667;144.31667
2194;kirkcudbright;Kirkcudbright;54.8383;-4.04908
2196;durham;Durham;35.99403;-78.89862
2204;linlithgow;Linlithgow;55.97639;-3.60364
2205;witheridge;Witheridge;50.91743;-3.70351
2228;blackrock;Blackrock;53.96405;-6.36514
2232;cumbernauld;Cumbernauld;55.94685;-3.99051
2235;polmont;Polmont;55.9905;-3.70737
2238;ewell;Ewell;51.34948;-0.2494
2242;teddington;Teddington;51.42233;-0.33053
2245;vellore;Vellore;12.9184;79.13255
2257;stoke;Stoke;53.25;-2.86667
2262;woodford;Woodford;51.11667;-1.83333
2263;avening;Avening;51.6801;-2.16903
2264;kennington;Kennington;-36.77128;144.30298
2266;lowestoft;Lowestoft;52.47523;1.75167
2267;bowdon;Bowdon;33.53789;-85.25328
2270;denny;Denny;56.0235;-3.90812
2273;hedon;Hedon;53.73962;-0.19655
2278;cathcart;Cathcart;47.84788;-122.09929
2285;hailsham;Hailsham;50.8622;0.25775
2286;bathford;Bathford;51.4002;-2.30161
2292;st columb;St Columb;50.43163;-4.94336
2293;alrewas;Alrewas;52.73278;-1.74968
2295;newcastle;Newcastle;47.53899;-122.15568
2296;sidmouth;Sidmouth;50.69094;-3.2397
2303;wareham;Wareham;50.68792;-2.11058
2304;philadelphia;Philadelphia;39.95238;-75.16362
2307;galashiels;Galashiels;55.61458;-2.80695
2309;verdun;Verdun;49.15964;5.3829
2318;preston;Preston;33.88232;-96.63305
2324;st petersburg;St Petersburg;59.93863;30.31413
2327;wellington;Wellington;52.7;-2.51667
2328;ide;Ide;34.79965;135.81247
2334;shrewsbury;Shrewsbury;38.59033;-90.33678
2338;alnwick;Alnwick;55.41318;-1.70563
2345;horsham;Horsham;51.06314;-0.32757
2347;cupar;Cupar;56.31876;-3.01204
2351;kent;Kent;41.72482;-73.47707
2353;pembroke;Pembroke;51.67464;-4.91286
2354;banbury;Banbury;52.0632;-1.34222
2355;colchester;Colchester;41.57565;-72.33203
2356;wakefield;Wakefield;53.68331;-1.49768
2357;salford;Salford;53.48771;-2.29042
2358;londen;Londen;51.50853;-0.12574
2360;northumberland;Northumberland;44.56339;-71.5587
2361;surrey;Surrey;48.2364;-101.13349
2364;devon;Devon;53.36683;-113.73533
2367;shadwell;Shadwell;53.8546;-1.4726
2368;suffolk;Suffolk;36.72836;-76.58496
2370;essex;Essex;42.63204;-70.78283
2372;sussex;Sussex;41.20982;-74.60766
2374;chester;Chester;44.54225;-64.23891
2375;denbigh;Denbigh;53.18333;-3.41667
2377;blackheath;Blackheath;51.4647;0.0079
2380;westminster;Westminster;30.4138;-91.0876
