month 	personal	attorney	total
Jul. 1788	43528	24761	68289
Aug. 1788	52724	26525	79249
Sep. 1788	10584	13050	23634
Oct. 1788	36620	17336	53956
Nov. 1788	83190	8270	91460
Dec. 1788	50685	8967	59652
Jan. 1789	31992	20261	52253
Feb. 1789	92266	20004	112270
Mar. 1789	60011	1600	61611
Apr. 1789	73770	26875	100645
May 1789	35371	35247	70618
Jun. 1789	18345	2690	21035
Jul. 1789	81561	36851	118412
Aug. 1789	69865	31037	100902
Sep. 1789	36607	28109	64716
Oct. 1789	81691	25218	106909
Nov. 1789	146287	22286	168573
Dec. 1789	59685	3827	63512
Jan. 1790	44826	15280	60106
Feb. 1790	54055	19076	73131
Mar. 1790	129492	4070	133562
Apr. 1790	104365	16650	121015
May 1790	204308	24525	228833
Jun. 1790	79428	10870	90298
Jul. 1790	113372	15152	128524
Aug. 1790	133423	33971	167394
Sep. 1790	52317	25050	77367
Oct. 1790	74609	29885	104494
Nov. 1790	124671	24170	148841
Dec. 1790	73885	19443	93328
Jan. 1791	87366	22915	110281
Feb. 1791	147069	61874	208943
Mar. 1791	47097	10850	57947
Apr. 1791	107869	49537	157406
May 1791	177474	53240	230714
Jun. 1791	56452	6862	63314
Jul. 1791	121691	33375	155066
Aug. 1791	243928	114757	358685
Sep. 1791	220122	93442	313564
Oct. 1791	309961	87828	397789
Nov. 1791	313841	89591	403432
Dec. 1791	88418	11585	100003
Jan. 1792	156169	66443	222612
Feb. 1792	412792	103307	516099
Mar. 1792	141967	48873	190840
Apr. 1792	301293	48329	349622
May 1792	309520	68075	377595
Jun. 1792	99103	14670	113773
Jul. 1792	300939	69901	370840
Aug. 1792	161502	72097	233599
Sep. 1792	169129	33487	202616
Oct. 1792	277820	35541	313361
Nov. 1792	298101	55478	353579
Dec. 1792	111649	10026	121675
Jan. 1793	326074	49062	375136
Feb. 1793	330837	49700	380537
Mar. 1793	109634	4098	113732
Apr. 1793	389127	80265	469392
May 1793	189990	104540	294530
Jun. 1793	53232	18009	71241
Jul. 1793	249075	33051	282126
Aug. 1793	143316	44262	187578
Sep. 1793	65429	20590	86019
Oct. 1793	124151	24605	148756
Nov. 1793	137785	31974	169759
Dec. 1793	48879	12839	61718
Jan. 1794	166796	46208	213004
Feb. 1794	216766	45370	262136
Mar. 1794	44774	8380	53154
Apr. 1794	198788	15390	214178
May 1794	131827	32445	164272
Jun. 1794	44640	2520	47160
Jul. 1794	127382	33048	160430
Aug. 1794	86680	56479	143159
Sep. 1794	44908	8201	53109
Oct. 1794	133539	40850	174389
Nov. 1794	166129	28281	194410
Dec. 1794	31057	12210	43267
Jan. 1795	104425	23047	127472
Feb. 1795	112758	42885	155643
Mar. 1795	23690	1146	24836
Apr. 1795	168764	16865	185629
May 1795	148096	22183	170279
Jun. 1795	25953	2275	28228
Jul. 1795	93348	27378	120726
Aug. 1795	66212	45592	111804
Sep. 1795	30554	4240	34794
Oct. 1795	57087	19348	76435
Nov. 1795	82094	21840	103934
Dec. 1795	41901	8025	49926
Jan. 1796	147162	53536	200698
Feb. 1796	162868	47362	210230
Mar. 1796	38229	1870	40099
Apr. 1796	122234	32498	154732
May 1796	173766	28225	201991
Jun. 1796	23432	8240	31672
Jul. 1796	85972	27445	113417
Aug. 1796	69636	33574	103210
Sep. 1796	62796	19582	82378
Oct. 1796	49540	35468	85008
Nov. 1796	85071	33915	118986
Dec. 1796	12918	10200	23118
Jan. 1797	50374	30720	81094
Feb. 1797	81842	18686	100528
Mar. 1797	10500	14756	25256
Apr. 1797	48047	27639	75686
May 1797	67015	9958	76973
Jun. 1797	6859	6700	13559
Jul. 1797	51701	17711	69412
Aug. 1797	67981	32993	100974
Sep. 1797	26980	6820	33800
Oct. 1797	35062	12262	47324
Nov. 1797	30873	13177	44050
Dec. 1797	8004	3630	11634
Jan. 1798	55680	17316	72996
Feb. 1798	82394	22761	105155
Mar. 1798	12440	11934	24374
Apr. 1798	50999	38028	89027
May 1798	82726	18745	101471
Jun. 1798	9369	1150	10519
Jul. 1798	31277	61172	92449
Aug. 1798	72538	44757	117295
Sep. 1798	40730	12950	53680
Oct. 1798	67984	18287	86271
Nov. 1798	89874	5492	95366
Dec. 1798	13685	3600	17285
Jan. 1799	51127	22705	73832
Feb. 1799	92204	18779	110983
Mar. 1799	28235	13280	41515
Apr. 1799	46925	47371	94296
May 1799	47246	23695	70941
Jun. 1799	15929	500	16429
Jul. 1799	70422	25007	95429
Aug. 1799	88417	29182	117599
Sep. 1799	26209	29074	55283
Oct. 1799	49638	33668	83306
Nov. 1799	39370	21687	61057
Dec. 1799	26592	3367	29959
Jan. 1800	58201	16207	74408
Feb. 1800	129846	32585	162431
Mar. 1800	42456	4897	47353
Apr. 1800	72187	26028	98215
May 1800	75680	19292	94972
Jun. 1800	13675	3831	17506
Jul. 1800	101181	13526	114707
Aug. 1800	89880	32458	122338
Sep. 1800	42640	7045	49685
Oct. 1800	58743	12870	71613
Nov. 1800	43550	7146	50696
Dec. 1800	19800	7375	27175
Jan. 1801	51113	18621	69734
Feb. 1801	62787	24562	87349
Mar. 1801	13160	2800	15960
Apr. 1801	63369	15377	78746
May 1801	79582	18154	97736
Jun. 1801	7500	1463	8963
Jul. 1801	36399	30824	67223
Aug. 1801	24435	15233	39668
Sep. 1801	24464	12350	36814
Oct. 1801	62580	24214	86794
Nov. 1801	55241	23448	78689
Dec. 1801	40885	7021	47906
Jan. 1802	52825	19099	71924
Feb. 1802	56068	19308	75376
Mar. 1802	32784	5343	38127
Apr. 1802	99034	49248	148282
May 1802	100503	45641	146144
Jun. 1802	13775	9950	23725
Jul. 1802	44221	19550	63771
Aug. 1802	75823	27302	103125
Sep. 1802	38545	14096	52641
Oct. 1802	56158	15622	71780
Nov. 1802	61278	39339	100617
Dec. 1802	24225	3204	27429
Jan. 1803	83734	26290	110024
Feb. 1803	69458	33589	103047
Mar. 1803	26406	21436	47842
Apr. 1803	87766	56512	144278
May 1803	69454	38270	107724
Jun. 1803	14599	8378	22977
Jul. 1803	78149	31551	109700
Aug. 1803	48944	24381	73325
Sep. 1803	12192	9650	21842
Oct. 1803	27164	22252	49416
Nov. 1803	53884	21209	75093
Dec. 1803	25092	8743	33835
Jan. 1804	71942	19388	91330
Feb. 1804	66927	13101	80028
Mar. 1804	13400	2225	15625
Apr. 1804	37275	44850	82125
May 1804	60900	38220	99120
Jun. 1804	21125	1700	22825
Jul. 1804	58594	9579	68173
Aug. 1804	33447	38719	72166
Sep. 1804	16734	13350	30084
Oct. 1804	39733	12294	52027
Nov. 1804	55358	11770	67128
Dec. 1804	15900	22834	38734
Jan. 1805	71120	22188	93308
Feb. 1805	67114	15546	82660
Mar. 1805	23641	5550	29191
Apr. 1805	51594	16738	68332
May 1805	64254	14846	79100
Jun. 1805	7101	2000	9101
Jul. 1805	45832	27634	73466
Aug. 1805	46530	20527	67057
Sep. 1805	26848	5442	32290
Oct. 1805	29073	12565	41638
Nov. 1805	59789	20825	80614
Dec. 1805	5900	2851	8751
Jan. 1806	34244	18646	52890
Feb. 1806	70073	20921	90994
Mar. 1806	24657	3200	27857
Apr. 1806	73271	35172	108443
May 1806	96469	20357	116826
Jun. 1806	9570	19442	29012
Jul. 1806	48728	37344	86072
Aug. 1806	60401	24133	84534
Sep. 1806	27445	19872	47317
Oct. 1806	35568	12430	47998
Nov. 1806	52888	6703	59591
Dec. 1806	16350	1500	17850
Jan. 1807	53823	17756	71579
Feb. 1807	50336	8439	58775
Mar. 1807	15225	4249	19474
Apr. 1807	105886	25572	131458
May 1807	66225	14772	80997
Jun. 1807	10300	4735	15035
Jul. 1807	60670	20635	81305
Aug. 1807	52812	18202	71014
Sep. 1807	22879	20922	43801
Oct. 1807	52835	20605	73440
Nov. 1807	60281	5615	65896
Dec. 1807	330	450	780
Jan. 1808	41229	32647	73876
Feb. 1808	89771	27247	117018
Mar. 1808	23660	7180	30840
Apr. 1808	74157	10739	84896
May 1808	154861	38525	193386
Jun. 1808	16060	6420	22480
Jul. 1808	75300	26205	101505
Aug. 1808	36786	24966	61752
Sep. 1808	20022	19834	39856
Oct. 1808	51322	13098	64420
Nov. 1808	60785	7884	68669
Dec. 1808	0	0	0
Jan. 1809	53515	26975	80490
Feb. 1809	67635	18426	86061
Mar. 1809	11568	4183	15751
Apr. 1809	67052	30406	97458
May 1809	73322	20293	93615
Jun. 1809	14710	3841	18551
Jul. 1809	47495	20768	68263
Aug. 1809	59074	19519	78593
Sep. 1809	23630	14786	38416
Oct. 1809	54750	14690	69440
Nov. 1809	79849	69602	149451
Dec. 1809	0	0	0
Jan. 1810	65292	20042	85334
Feb. 1810	58403	26987	85390
Mar. 1810	8540	5760	14300
Apr. 1810	42140	12157	54297
May 1810	57918	14200	72118
Jun. 1810	15483	6355	21838
Jul. 1810	54224	15535	69759
Aug. 1810	73514	14837	88351
Sep. 1810	28247	12268	40515
Oct. 1810	40108	57648	97756
Nov. 1810	47132	11155	58287
Dec. 1810	3000	0	3000
Jan. 1811	55514	36018	91532
Feb. 1811	64999	30262	95261
Mar. 1811	17308	12106	29414
Apr. 1811	63831	22590	86421
May 1811	71061	3982	75043
Jun. 1811	25725	3294	29019
Jul. 1811	61545	15277	76822
Aug. 1811	36322	15602	51924
Sep. 1811	25015	9005	34020
Oct. 1811	44605	8600	53205
Nov. 1811	41486	11500	52986
Dec. 1811	0	0	0
Jan. 1812	30537	16989	47526
Feb. 1812	44409	25038	69447
Mar. 1812	11250	3510	14760
Apr. 1812	44875	15041	59916
May 1812	40851	20611	61462
Jun. 1812	10144	14267	24411
Jul. 1812	17509	11127	28636
Aug. 1812	32160	18760	50920
Sep. 1812	32410	11257	43667
Oct. 1812	37176	14725	51901
Nov. 1812	46690	14424	61114
Dec. 1812	0	0	0
Jan. 1813	44035	15572	59607
Feb. 1813	50362	14975	65337
Mar. 1813	11450	5532	16982
Apr. 1813	37582	24165	61747
May 1813	46264	7350	53614
Jun. 1813	12225	4792	17017
Jul. 1813	25381	11930	37311
Aug. 1813	45368	10908	56276
Sep. 1813	24914	16511	41425
Oct. 1813	24302	12926	37228
Nov. 1813	42091	21287	63378
Dec. 1813	0	0	0
Jan. 1814	51456	23339	74795
Feb. 1814	89531	26292	115823
Mar. 1814	41300	5422	46722
Apr. 1814	51199	26176	77375
May 1814	81536	19146	100682
Jun. 1814	13683	14000	27683
Jul. 1814	29672	9229	38901
Aug. 1814	34212	28178	62390
Sep. 1814	11225	17608	28833
Oct. 1814	18705	57403	76108
Nov. 1814	49873	13993	63866
Dec. 1814	2950	0	2950
Jan. 1815	46137	13802	59939
Feb. 1815	66074	18980	85054
Mar. 1815	10680	1800	12480
Apr. 1815	27495	17644	45139
May 1815	48042	20598	68640
Jun. 1815	6075	240	6315
Jul. 1815	55575	20361	75936
Aug. 1815	57717	21000	78717
Sep. 1815	11500	7533	19033
Oct. 1815	27494	34620	62114
Nov. 1815	32755	22218	54973
Dec. 1815	0	0	0
Jan. 1816	27781	31730	59511
Feb. 1816	48206	21950	70156
Mar. 1816	10382	6300	16682
Apr. 1816	61453	67912	129365
May 1816	62118	4921	67039
Jun. 1816	10350	13124	23474
Jul. 1816	112851	17186	130037
Aug. 1816	48056	33707	81763
Sep. 1816	33333	11931	45264
Oct. 1816	20755	5366	26121
Nov. 1816	53740	24325	78065
Dec. 1816	14775	948	15723
Jan. 1817	67372	30748	98120
Feb. 1817	95215	66077	161292
Mar. 1817	34470	18577	53047
Apr. 1817	111028	60550	171578
May 1817	62800	18058	80858
Jun. 1817	27295	3700	30995
Jul. 1817	59055	42634	101689
Aug. 1817	57738	40236	97974
Sep. 1817	52902	14534	67436
Oct. 1817	70813	23871	94684
Nov. 1817	65726	34155	99881
Dec. 1817	24853	5540	30393
Jan. 1818	41490	20155	61645
Feb. 1818	42419	13281	55700
Mar. 1818	9884	1203	11087
Apr. 1818	38823	31867	70690
May 1818	64873	24353	89226
Jun. 1818	10283	27132	37415
Jul. 1818	41437	18821	60258
Aug. 1818	37651	22073	59724
Sep. 1818	21700	2521	24221
Oct. 1818	22474	9740	32214
Nov. 1818	50096	29718	79814
Dec. 1818	11087	13100	24187
Jan. 1819	54330	15580	69910
Feb. 1819	32369	17634	50003
Mar. 1819	16680	5620	22300
Apr. 1819	34617	18165	52782
May 1819	78889	5823	84712
Jun. 1819	25486	8200	33686
Jul. 1819	68707	29181	97888
Aug. 1819	22371	14760	37131
Sep. 1819	11718	15414	27132
Oct. 1819	30420	9789	40209
Nov. 1819	28283	14425	42708
Dec. 1819	17865	2200	20065
Jan. 1820	32038	14146	46184
Feb. 1820	59065	14783	73848
Mar. 1820	10047	10000	20047
Apr. 1820	42495	23006	65501
May 1820	52199	16580	68779
Jun. 1820	24590	13299	37889
Jul. 1820	68882	14170	83052
Aug. 1820	52649	26918	79567
Sep. 1820	63740	9698	73438
Oct. 1820	35882	25536	61418
Nov. 1820	41844	23146	64990
Dec. 1820	14442	4350	18792
Jan. 1821	49418	22387	71805
Feb. 1821	74962	34549	109511
Mar. 1821	8635	740	9375
Apr. 1821	60065	20503	80568
May 1821	44628	18399	63027
Jun. 1821	32519	2300	34819
Jul. 1821	54146	28908	83054
