;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
27718;s1263;s1263v1;s1263v1c4;5 Nov Kedgeree;1765;11.0;5.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27734;s1263;s1263v3;s1263v3c3;3 Aug Johanna;1771;8.0;3.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27753;s1264;s1264v1;s1264v1c5;Jun 1626 St Augustine's Bay;1626;6.0;;l103;True;l103;St Augustine's Bay;calls;-23.3015;43.41;indian_ocean
27792;s1266;s1266v4;s1266v4c2;15 Jul Johanna;1753;7.0;15.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27812;s1267;s1267v1;s1267v1c3;29 Jul Johanna;1770;7.0;29.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27821;s1267;s1267v2;s1267v2c2;1 Sep Johanna;1774;9.0;1.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27840;s1267;s1267v2;s1267v2c19;8 Oct;1775;10.0;8.0;;True;;maldives;calls;4.18;73.51;indian_ocean
27853;s1267;s1267v3;s1267v3c5;22 Mar 1779 Kedgeree;1779;3.0;22.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27870;s1269;s1269v1;s1269v1c11;15 Mar Bandar Abbas;1716;3.0;15.0;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
27888;s1269;s1269v2;s1269v2c3;11 Aug Johanna;1718;8.0;11.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
27914;s1269;s1269v3;s1269v3c11;5 Aug Bandar Abbas;1722;8.0;5.0;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
27915;s1269;s1269v3;s1269v3c12;16 Oct Basra;1722;10.0;16.0;l373;False;l373;Basra;calls;30.50852;47.7804;indian_ocean
27945;s1270;s1270v2;s1270v2c3;Bandar Abbas;1624;;;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
27951;s1270;s1270v3;s1270v3c3;Sep Moheli;1627;9.0;;l61;False;l61;Moheli;calls;-12.15;43.45;indian_ocean
27953;s1270;s1270v3;s1270v3c5;Bandar Abbas;1627;;;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
27967;s1272;s1272v1;s1272v1c2;8 Jan 1802 Kedgeree;1802;1.0;8.0;l20;False;l20;Kedgeree;calls;12.8575;87.9115;indian_ocean
27972;s1273;s1273v1;s1273v1c2;4 Jun Moheli;1756;6.0;4.0;l61;False;l61;Moheli;calls;-12.15;43.45;indian_ocean
27982;s1273;s1273v2;s1273v2c3;10 Aug St Augustine's Bay;1759;8.0;10.0;l103;True;l103;St Augustine's Bay;calls;-23.3015;43.41;indian_ocean
27994;s1274;s1274v1;s1274v1c2;25 May Johanna;1773;5.0;25.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
28028;s1275;s1275v1;s1275v1c1;22 Nov 1700;1700;11.0;22.0;;True;;maldives;calls;4.18;73.51;indian_ocean
28031;s1275;s1275v1;s1275v1c2;17 Jul 1702;1702;7.0;17.0;;True;;maldives;calls;4.18;73.51;indian_ocean
28045;s1275;s1275v2;s1275v2c14;24 May Muscat;1705;5.0;24.0;l295;False;l295;Muscat;calls;23.58413;58.40778;indian_ocean
28046;s1275;s1275v2;s1275v2c15;9 Jun Bandar Abbas;1705;6.0;9.0;l80;False;l80;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
28093;s1276;s1276v4;s1276v4c3;15 Jul Johanna;1731;7.0;15.0;l41;False;l41;Johanna;calls;-12.1254;44.253;indian_ocean
28116;s1277;s1277v1;s1277v1c5;3 Jul St Augustine's Bay;1748;7.0;3.0;l103;True;l103;St Augustine's Bay;calls;-23.3015;43.41;indian_ocean
28132;s1277;s1277v2;s1277v2c7;18 May Mokha;1752;5.0;18.0;l157;False;l157;Mokha;calls;13.1913;43.15;indian_ocean
28180;s1278;s1278v2;s1278v2c7;captured by the French 31 May 1809 in 9Â°S 91Â°E, recaptured at Bourbon 21 Sep;1809;9.0;21.0;;True;;maldives;calls;4.18;73.51;indian_ocean
28231;s1280;s1280v1;s1280v1c5;20 Jul Mauritius;1708;7.0;20.0;l77;False;l77;Mauritius;calls;-20.2;57.5;indian_ocean
28244;s1280;s1280v2;s1280v2c8;15 Apr Mokha 26 Aug;1712;8.0;26.0;l157;False;l157;Mokha;calls;13.1913;43.15;indian_ocean
28252;s1281;s1281v1;s1281v1c1;10 Jan 1675;1675;1.0;10.0;;True;;maldives;calls;4.18;73.51;indian_ocean
28255;s1281;s1281v1;s1281v1c2;1 Aug 1676;1676;8.0;1.0;;True;;maldives;calls;4.18;73.51;indian_ocean
28258;s1281;s1281v3;s1281v3c1;15 Jan 1679;1679;1.0;15.0;;True;;maldives;calls;4.18;73.51;indian_ocean
28261;s1281;s1281v3;s1281v3c2;16 Sep 1680;1680;9.0;16.0;;True;;maldives;calls;4.18;73.51;indian_ocean
