;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
15026;s686;s686v4;s686v4c6;23 Jul Manila Bay;1763;7.0;23.0;l926;False;l926;Manila Bay;calls;14.31;120.46;southeast_asia
15029;s686;s686v4;s686v4c9;12 Feb 1764 Benkulen;1764;2.0;12.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
15035;s687;s687v1;s687v1c4;12 Aug Malacca;1767;8.0;12.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
15064;s688;s688v1;s688v1c4;12 Aug Malacca;1783;8.0;12.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
15072;s688;s688v2;s688v2c4;10 Jul Malacca;1785;7.0;10.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
15079;s688;s688v3;s688v3c3;18 Aug Penang;1787;8.0;18.0;l107;False;l107;Penang;calls;5.41123;100.33543;southeast_asia
15107;s689;s689v1;s689v1c3;21 Oct Bantam Dec;1617;12.0;21.0;l87;False;l87;Bantam;calls;-6.0233;106.0939;southeast_asia
15108;s689;s689v1;s689v1c4;3 Apr 1618 Jambi;1618;4.0;3.0;l166;False;l166;Jambi;calls;-1.6;103.61667;southeast_asia
15109;s689;s689v1;s689v1c5;Bantam 20 Aug;1618;8.0;20.0;l87;False;l87;Bantam;calls;-6.0233;106.0939;southeast_asia
15131;s690;s690v4;s690v4c3;21 Jun Batavia;1711;6.0;21.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15134;s690;s690v4;s690v4c6;26 Mar 1712 Malacca;1712;3.0;26.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
15136;s690;s690v4;s690v4c8;21 Jul Malacca;1712;7.0;21.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
15169;s691;s691v5;s691v5c6;24 Apr Malacca;1811;4.0;24.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
15170;s691;s691v5;s691v5c7;4 Aug Batavia;1811;8.0;4.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15189;s691;s691v7;s691v7c7;18 Feb Benkulen;1816;2.0;18.0;l37;False;l37;Benkulen;calls;-3.80044;102.26554;southeast_asia
15190;s691;s691v7;s691v7c8;4 Mar Batavia;1816;3.0;4.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15209;s692;s692v2;s692v2c5;26 Apr Penang;1804;4.0;26.0;l107;False;l107;Penang;calls;5.41123;100.33543;southeast_asia
15216;s692;s692v3;s692v3c5;17 Oct Penang;1806;10.0;17.0;l107;False;l107;Penang;calls;5.41123;100.33543;southeast_asia
15238;s692;s692v5;s692v5c7;4 May Malacca;1811;5.0;4.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
15240;s692;s692v5;s692v5c9;10 Aug Batavia;1811;8.0;10.0;l22;False;l22;Batavia;calls;-6.129;106.8129;southeast_asia
15305;s696;s696v2;s696v2c3;16 Sep Penang;1823;9.0;16.0;l107;False;l107;Penang;calls;5.41123;100.33543;southeast_asia
15306;s696;s696v2;s696v2c4;4 Oct Singapore;1823;10.0;4.0;l13;False;l13;Singapore;calls;1.28967;103.85007;southeast_asia
15314;s696;s696v3;s696v3c4;16 Aug Penang;1825;8.0;16.0;l107;False;l107;Penang;calls;5.41123;100.33543;southeast_asia
15321;s696;s696v4;s696v4c3;23 Aug Singapore;1827;8.0;23.0;l13;False;l13;Singapore;calls;1.28967;103.85007;southeast_asia
15328;s696;s696v5;s696v5c3;18 Aug Penang;1829;8.0;18.0;l107;False;l107;Penang;calls;5.41123;100.33543;southeast_asia
15329;s696;s696v5;s696v5c4;29 Aug Malacca;1829;8.0;29.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
15330;s696;s696v5;s696v5c5;2 Sep Singapore;1829;9.0;2.0;l13;False;l13;Singapore;calls;1.28967;103.85007;southeast_asia
15373;s697;s697v4;s697v4c3;5 Dec Nicobars;1757;12.0;5.0;l194;False;l194;Nicobars;calls;7.05;93.48;southeast_asia
15482;s706;s706v1;s706v1c4;9 Aug Penang;1833;8.0;9.0;l107;False;l107;Penang;calls;5.41123;100.33543;southeast_asia
15483;s706;s706v1;s706v1c5;1 Sep Singapore;1833;9.0;1.0;l13;False;l13;Singapore;calls;1.28967;103.85007;southeast_asia
15490;s706;s706v2;s706v2c3;4 Sep Malacca;1813;9.0;4.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
15498;s706;s706v3;s706v3c4;8 Aug Penang;1815;8.0;8.0;l107;False;l107;Penang;calls;5.41123;100.33543;southeast_asia
15505;s706;s706v4;s706v4c3;27 Jul Penang;1817;7.0;27.0;l107;False;l107;Penang;calls;5.41123;100.33543;southeast_asia
15512;s706;s706v5;s706v5c3;11 Aug Penang;1819;8.0;11.0;l107;False;l107;Penang;calls;5.41123;100.33543;southeast_asia
15532;s706;s706v8;s706v8c3;21 Aug Malacca;1825;8.0;21.0;l15;False;l15;Malacca;calls;2.196;102.2405;southeast_asia
15540;s706;s706v9;s706v9c4;3 Oct Singapore;1827;10.0;3.0;l13;False;l13;Singapore;calls;1.28967;103.85007;southeast_asia
15569;s711;s711v1;s711v1c3;23 Oct Bantam 11 Mar 1613;1613;3.0;11.0;l87;False;l87;Bantam;calls;-6.0233;106.0939;southeast_asia
15571;s711;s711v1;s711v1c5;20 Apr Bantam 10 Jun;1614;6.0;10.0;l87;False;l87;Bantam;calls;-6.0233;106.0939;southeast_asia
15573;s711;s711v1;s711v1c7;9 Nov Bantam 29 Jan 1615;1615;1.0;29.0;l87;False;l87;Bantam;calls;-6.0233;106.0939;southeast_asia
