;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
20852;s950;s950v4;s950v4c3;6 Sep Bombay;1782;9.0;6.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20888;s954;s954v1;s954v1c4;1 Apr Bombay;1695;4.0;1.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20889;s954;s954v1;s954v1c5;17 Apr Surat;1695;4.0;17.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
20890;s954;s954v1;s954v1c6;28 May Bombay;1695;5.0;28.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20920;s955;s955v3;s955v3c3;5 Sep Bombay;1738;9.0;5.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20921;s955;s955v3;s955v3c4;7 Nov Goa;1738;11.0;7.0;l44;False;l44;Goa;calls;15.5;73.83;bombay_presidency
20922;s955;s955v3;s955v3c5;7 Dec Bombay;1738;12.0;7.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20923;s955;s955v3;s955v3c6;9 Jan 1739 Goa;1739;1.0;9.0;l44;False;l44;Goa;calls;15.5;73.83;bombay_presidency
20930;s955;s955v4;s955v4c3;5 Aug Bombay;1741;8.0;5.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20959;s956;s956v4;s956v4c4;6 Sep Bombay 12 Dec;1782;12.0;12.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20962;s956;s956v4;s956v4c7;9 Jun Bombay;1783;6.0;9.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20964;s956;s956v4;s956v4c9;3 Jun 1784 Bombay;1784;6.0;3.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20989;s958;s958v1;s958v1c5;1 Jan 1703 Karwar;1703;1.0;1.0;l31;False;l31;Karwar;calls;14.81361;74.12972;bombay_presidency
20990;s958;s958v1;s958v1c6;19 Jan Bombay;1703;1.0;19.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
20991;s958;s958v1;s958v1c7;15 Feb Karwar;1703;2.0;15.0;l31;False;l31;Karwar;calls;14.81361;74.12972;bombay_presidency
21034;s958;s958v4;s958v4c4;22 Sep Bombay;1712;9.0;22.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21041;s958;s958v5;s958v5c4;28 Sep Bombay;1715;9.0;28.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21077;s961;s961v1;s961v1c3;13 Jan 1761 Bombay;1761;1.0;13.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21123;s962;s962v1;s962v1c10;17 Dec Bombay;1781;12.0;17.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21127;s962;s962v1;s962v1c14;28 May Bombay;1782;5.0;28.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21132;s962;s962v2;s962v2c3;24 Aug Bombay;1784;8.0;24.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21134;s962;s962v2;s962v2c5;9 Nov Bombay;1784;11.0;9.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21149;s963;s963v1;s963v1c2;7 Jul Bombay;1797;7.0;7.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21185;s963;s963v6;s963v6c2;25 Jun Bombay;1809;6.0;25.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21193;s963;s963v7;s963v7c3;7 May Bombay;1812;5.0;7.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21201;s963;s963v8;s963v8c2;22 May 1814 Bombay;1814;5.0;22.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21207;s964;s964v1;s964v1c2;26 Oct Bombay;1827;10.0;26.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21219;s966;s966v1;s966v1c2;Bombay;1733;;;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21249;s969;s969v1;s969v1c5;15 Oct Surat 3 Mar 1615;1615;3.0;3.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
21255;s969;s969v2;s969v2c4;20 Sep Surat 13 Mar 1618;1618;3.0;13.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
21403;s979;s979v1;s979v1c2;11 Feb 1802 Bombay;1802;2.0;11.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21404;s979;s979v1;s979v1c3;2 Apr Surat;1802;4.0;2.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
21405;s979;s979v1;s979v1c4;7 Apr Bombay;1802;4.0;7.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21437;s979;s979v5;s979v5c3;24 Nov Bombay;1809;11.0;24.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21442;s979;s979v6;s979v6c2;20 Jul Bombay;1811;7.0;20.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21477;s981;s981v2;s981v2c4;10 Aug Bombay;1770;8.0;10.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21478;s981;s981v2;s981v2c5;7 Nov Surat;1770;11.0;7.0;l33;False;l33;Surat;calls;21.19594;72.83023;bombay_presidency
21479;s981;s981v2;s981v2c6;21 Nov Bombay;1770;11.0;21.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
21480;s981;s981v2;s981v2c7;12 Feb 1771 Goa;1771;2.0;12.0;l44;False;l44;Goa;calls;15.5;73.83;bombay_presidency
21497;s981;s981v4;s981v4c3;14 Aug Bombay;1777;8.0;14.0;l12;False;l12;Bombay;calls;19.07283;72.88261;bombay_presidency
