;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
721;s39;s39v1;s39v1c2;17 Sep Madras;1819;9.0;17.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
722;s39;s39v1;s39v1c3;29 Sep Fulta;1819;9.0;29.0;l128;False;l128;Fulta;calls;19.1629;84.4843;madras_presidency
724;s39;s39v1;s39v1c5;3 Jan 1820 Madras;1820;1.0;3.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
728;s40;s40v1;s40v1c2;15 Jun Madras;1802;6.0;15.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
743;s40;s40v3;s40v3c2;29 Jun Madras;1806;6.0;29.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
752;s40;s40v4;s40v4c2;25 Jun Madras;1808;6.0;25.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
794;s43;s43v1;s43v1c3;5 Jan 1696 Calicut;1696;1.0;5.0;l29;False;l29;Calicut;calls;11.24802;75.7804;madras_presidency
807;s44;s44v2;s44v2c3;9 Jul Madras;1663;7.0;9.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
809;s44;s44v2;s44v2c5;27 Dec Madras 7 Jan 1664;1664;1.0;7.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
823;s48;s48v1;s48v1c2;4 Feb 1802 Madras;1802;2.0;4.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
830;s48;s48v2;s48v2c3;2 Feb 1804 Madras;1804;2.0;2.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
838;s48;s48v3;s48v3c5;2 Mar 1806 Madras;1806;3.0;2.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
841;s48;s48v3;s48v3c8;10 Oct Madras;1806;10.0;10.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
847;s48;s48v4;s48v4c3;17 Feb 1808 Madras;1808;2.0;17.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
850;s48;s48v4;s48v4c6;9 Sep Madras;1808;9.0;9.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
856;s48;s48v5;s48v5c3;13 Oct Madras;1810;10.0;13.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
859;s48;s48v5;s48v5c6;31 Jan 1811 Vizagapatam;1811;1.0;31.0;l77;False;l77;Vizagapatam;calls;17.68009;83.20161;madras_presidency
860;s48;s48v5;s48v5c7;26 Feb Madras;1811;2.0;26.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
865;s48;s48v6;s48v6c3;16 Sep Madras;1812;9.0;16.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
880;s48;s48v8;s48v8c4;31 Dec Cochin;1816;12.0;31.0;l46;False;l46;Cochin;calls;9.93988;76.26022;madras_presidency
893;s49;s49v2;s49v2c5;28 Jan 1769 Colombo;1769;1.0;28.0;l58;False;l58;Colombo;calls;6.5604;79.5034;madras_presidency
894;s49;s49v2;s49v2c6;4 Feb Cochin;1769;2.0;4.0;l46;False;l46;Cochin;calls;9.93988;76.26022;madras_presidency
896;s49;s49v2;s49v2c8;16 May Madras;1769;5.0;16.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
904;s49;s49v3;s49v3c3;28 Jul Madras;1771;7.0;28.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
914;s50;s50v2;s50v2c3;18 Jul Madras;1700;7.0;18.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
938;s54;s54v1;s54v1c2;27 Feb Coringa;1803;2.0;27.0;l141;False;l141;Coringa;calls;16.48;82.14;madras_presidency
939;s54;s54v1;s54v1c3;11 Mar Madras;1803;3.0;11.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
1026;s62;s62v2;s62v2c4;29 Aug Madras;1754;8.0;29.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
1027;s62;s62v2;s62v2c5;22 Sep Vizagapatam;1754;9.0;22.0;l77;False;l77;Vizagapatam;calls;17.68009;83.20161;madras_presidency
1031;s62;s62v2;s62v2c9;29 Mar Cochin;1755;3.0;29.0;l46;False;l46;Cochin;calls;9.93988;76.26022;madras_presidency
1032;s62;s62v2;s62v2c10;30 Apr Mangalore;1755;4.0;30.0;l32;False;l32;Mangalore;calls;12.91723;74.85603;madras_presidency
1047;s63;s63v2;s63v2c3;12 Sep Madras;1766;9.0;12.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
1050;s63;s63v2;s63v2c6;16 Feb Madras;1767;2.0;16.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
1055;s63;s63v3;s63v3c3;9 Sep Madras;1769;9.0;9.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
1058;s63;s63v3;s63v3c6;17 Mar Madras;1770;3.0;17.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
1064;s63;s63v4;s63v4c3;22 Jun Madras;1772;6.0;22.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
1086;s64;s64v1;s64v1c5;7 Jun Madras;1647;6.0;7.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
1087;s64;s64v1;s64v1c6;Masulipatam 19 Sep;1647;9.0;19.0;l90;False;l90;Masulipatam;calls;16.18747;81.13888;madras_presidency
1088;s64;s64v1;s64v1c7;7 Oct Madras;1647;10.0;7.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
1094;s65;s65v3;s65v3c2;Jul 1673 Madras;1673;7.0;;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
1118;s68;s68v1;s68v1c1;Madras 22 Aug 1800;1800;8.0;22.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
