;location_id;count;location;category;lat;lon;region
307;l162;2;Malabar;calls;-33.96216;151.24796;indian_ocean
311;l497;2;Sukadana;calls;-5.06446;105.54869;southeast_asia
312;l499;2;Thames;calls;-37.13832;175.54011;indian_ocean
315;l939;2;Amboyna;calls;-3.69583;128.18333;southeast_asia
318;l43;2;Colaba;calls;18.91;72.81;bombay_presidency
319;l460;2;Rangoon;calls;16.80528;96.15611;southeast_asia
321;l1168;2;Batticaloa;calls;7.7102;81.6924;madras_presidency
325;l3;2;Narsipur;calls;12.21;76.906;madras_presidency
326;l915;2;Brazil;calls;-8.4544;-35.0359;atlantic
331;l1068;2;Sao Thome;calls;0.33654;6.72732;atlantic
332;l951;2;Delagoa;calls;-25.59;32.42;indian_ocean
333;l111;2;Cape Coast Castle;calls;5.10535;-1.2466;atlantic
341;l505;2;Pulo Run;calls;-4.332587;129.4163;southeast_asia
342;l453;2;Persian Gulf;calls;26.7;52.0;indian_ocean
343;l911;2;Manila Bay;calls;14.31;120.46;southeast_asia
344;l586;2;Matavai;calls;-14.03208;-171.64768;indian_ocean
345;l879;2;Bassein;calls;16.77919;94.73212;bengal_presidency
347;l850;2;Sohar;calls;24.34745;56.70937;indian_ocean
349;l343;2;Achen;calls;5.3325;95.1934;southeast_asia
350;l787;2;Benguella;calls;-12.57626;13.40547;atlantic
353;l338;2;Laye;calls;12.53118;-1.77684;atlantic
354;l224;2;Waterford;calls;52.25833;-7.11194;british_isles
358;l852;2;Japara;calls;-6.5924;110.671;southeast_asia
363;l326;2;Benguela;calls;-12.57626;13.40547;atlantic
368;l543;2;Orkneys;calls;59.0;-3.0;british_isles
369;l247;2;Margate;calls;51.38132;1.38617;british_isles
374;l346;2;Martinique;calls;14.39;-61.0054;atlantic
376;l301;2;Hormuz;calls;27.0403;56.2736;indian_ocean
378;l198;2;Comoros;calls;-12.3;43.7;indian_ocean
381;l558;2;Rajapur;calls;16.65679;73.51701;bombay_presidency
385;l265;2;Jeddah;calls;21.49012;39.18624;indian_ocean
387;l777;2;Malaca;calls;36.72016;-4.42034;atlantic
389;l1007;2;Makassar;calls;-5.14861;119.43194;southeast_asia
391;l210;2;Qishm;calls;26.9492;56.2691;indian_ocean
392;l859;2;Lombok;calls;-8.565;116.351;southeast_asia
393;l266;2;Newfoundland;calls;48.36;-56.2;atlantic
